,x,y,z
0,564.4659423828125,-274.7226257324219,-27.79352569580078
1,563.62841796875,-274.985107421875,-27.794565200805664
2,562.7921752929688,-275.2481689453125,-27.79539680480957
3,561.9577026367188,-275.5117492675781,-27.795944213867188
4,561.1254272460938,-275.77557373046875,-27.79608917236328
5,560.2960205078125,-276.03948974609375,-27.795936584472656
6,559.47021484375,-276.30303955078125,-27.79566192626953
7,558.6485595703125,-276.5661315917969,-27.795162200927734
8,557.83154296875,-276.8286437988281,-27.79430389404297
9,557.0193481445312,-277.0904846191406,-27.793256759643555
10,556.2119750976562,-277.35150146484375,-27.792282104492188
11,555.4097900390625,-277.6116638183594,-27.791383743286133
12,554.6129760742188,-277.87091064453125,-27.790504455566406
13,553.8217163085938,-278.1292724609375,-27.789499282836914
14,553.0357055664062,-278.38671875,-27.7885799407959
15,552.2550659179688,-278.64324951171875,-27.78782844543457
16,551.4798583984375,-278.8988342285156,-27.787118911743164
17,550.7103271484375,-279.1534729003906,-27.786399841308594
18,549.9462890625,-279.4072570800781,-27.7856502532959
19,549.1876831054688,-279.6600036621094,-27.784976959228516
20,548.4343872070312,-279.9117126464844,-27.784399032592773
21,547.6865844726562,-280.1624755859375,-27.783954620361328
22,546.9443359375,-280.4121398925781,-27.783496856689453
23,546.20751953125,-280.66064453125,-27.78293800354004
24,545.4761962890625,-280.9078674316406,-27.78235626220703
25,544.7501220703125,-281.1538391113281,-27.781843185424805
26,544.0294189453125,-281.3985290527344,-27.781360626220703
27,543.3140258789062,-281.6418151855469,-27.780773162841797
28,542.6035766601562,-281.8837585449219,-27.78011131286621
29,541.8978881835938,-282.124267578125,-27.7794132232666
30,541.1969604492188,-282.3634948730469,-27.778730392456055
31,540.50048828125,-282.6014099121094,-27.778064727783203
32,539.808349609375,-282.8381042480469,-27.7773494720459
33,539.1199340820312,-283.0736389160156,-27.776649475097656
34,538.434814453125,-283.3079528808594,-27.77619171142578
35,537.7529296875,-283.541015625,-27.77604103088379
36,537.0734252929688,-283.7725524902344,-27.776958465576172
37,536.3961181640625,-284.0032043457031,-27.778108596801758
38,535.7208862304688,-284.2327880859375,-27.779224395751953
39,535.047607421875,-284.46124267578125,-27.780384063720703
40,534.37548828125,-284.68865966796875,-27.78240966796875
41,533.7053833007812,-284.9152526855469,-27.784381866455078
42,533.037353515625,-285.1407775878906,-27.78592300415039
43,532.3712158203125,-285.36492919921875,-27.787166595458984
44,531.70703125,-285.5874938964844,-27.787818908691406
45,531.0447387695312,-285.80828857421875,-27.78801727294922
46,530.384033203125,-286.0273132324219,-27.787864685058594
47,529.7247924804688,-286.2445983886719,-27.787656784057617
48,529.0670776367188,-286.4599304199219,-27.787277221679688
49,528.4107666015625,-286.6732177734375,-27.78689193725586
50,527.7557373046875,-286.88446044921875,-27.786479949951172
51,527.1019897460938,-287.09375,-27.78597068786621
52,526.44970703125,-287.3011169433594,-27.785253524780273
53,525.7987670898438,-287.50634765625,-27.784324645996094
54,525.1490478515625,-287.7093200683594,-27.783578872680664
55,524.50048828125,-287.9099426269531,-27.783239364624023
56,523.8529663085938,-288.1081237792969,-27.783363342285156
57,523.2066040039062,-288.303955078125,-27.78386878967285
58,522.561279296875,-288.49749755859375,-27.784765243530273
59,521.9169311523438,-288.68890380859375,-27.786052703857422
60,521.2734375,-288.87811279296875,-27.787784576416016
61,520.6309204101562,-289.06500244140625,-27.789974212646484
62,519.9894409179688,-289.2496643066406,-27.792360305786133
63,519.3491821289062,-289.4320983886719,-27.79463005065918
64,518.7102661132812,-289.61224365234375,-27.796558380126953
65,518.0725708007812,-289.7900695800781,-27.798099517822266
66,517.4358520507812,-289.965576171875,-27.799291610717773
67,516.8001708984375,-290.1385803222656,-27.80016326904297
68,516.1654663085938,-290.3091125488281,-27.800771713256836
69,515.5316772460938,-290.4771423339844,-27.80103302001953
70,514.898681640625,-290.6427307128906,-27.801027297973633
71,514.2666625976562,-290.80584716796875,-27.801036834716797
72,513.635498046875,-290.966552734375,-27.801427841186523
73,513.0052490234375,-291.1249694824219,-27.80234146118164
