,x,y,z
0,-52.07384490966797,252.13677978515625,7.133570671081543
1,-52.62998580932617,252.13523864746094,7.133166790008545
2,-53.18589782714844,252.1333770751953,7.132728576660156
3,-53.74155044555664,252.1311798095703,7.132253170013428
4,-54.29696273803711,252.1285858154297,7.131771087646484
5,-54.85211181640625,252.1256561279297,7.131274223327637
6,-55.40702438354492,252.1223907470703,7.130769729614258
7,-55.961673736572266,252.1187744140625,7.130275726318359
8,-56.51609420776367,252.11477661132812,7.129846096038818
9,-57.07025909423828,252.1104736328125,7.129458904266357
10,-57.62419891357422,252.1058349609375,7.129140853881836
11,-58.177879333496094,252.1009063720703,7.1288743019104
12,-58.7313117980957,252.09567260742188,7.128720283508301
13,-59.28447723388672,252.0901336669922,7.12871789932251
14,-59.83740234375,252.08425903320312,7.128840446472168
15,-60.39006042480469,252.07810974121094,7.129090785980225
16,-60.942474365234375,252.07164001464844,7.129461765289307
17,-61.49462127685547,252.06488037109375,7.1299638748168945
18,-62.04652404785156,252.05784606933594,7.130617141723633
19,-62.59815216064453,252.0504913330078,7.131414890289307
20,-63.149532318115234,252.04286193847656,7.132354736328125
21,-63.700645446777344,252.03497314453125,7.133487224578857
22,-64.25152587890625,252.0268096923828,7.134790897369385
23,-64.80211639404297,252.0184326171875,7.136298179626465
24,-65.35247802734375,252.00978088378906,7.138032913208008
25,-65.90258026123047,252.00091552734375,7.13998556137085
26,-66.45242309570312,251.99183654785156,7.142200469970703
27,-67.00198364257812,251.9825439453125,7.144687652587891
28,-67.55130767822266,251.97308349609375,7.147458553314209
29,-68.10032653808594,251.96347045898438,7.150557518005371
30,-68.64910125732422,251.9536895751953,7.153944969177246
31,-69.19757843017578,251.94371032714844,7.157626152038574
32,-69.74578094482422,251.93360900878906,7.1616644859313965
33,-70.29369354248047,251.92333984375,7.166020393371582
34,-70.8413314819336,251.91299438476562,7.170716762542725
35,-71.3886947631836,251.9025421142578,7.175747394561768
36,-71.9357681274414,251.89195251464844,7.181077003479004
37,-72.48252868652344,251.8812713623047,7.1867594718933105
38,-73.0290298461914,251.87046813964844,7.1927876472473145
39,-73.57520294189453,251.8595428466797,7.199122905731201
40,-74.12110900878906,251.84854125976562,7.20577335357666
41,-74.66670989990234,251.83741760253906,7.212718486785889
42,-75.2120132446289,251.82618713378906,7.219954013824463
43,-75.75701904296875,251.81488037109375,7.227521896362305
44,-76.30174255371094,251.803466796875,7.235350608825684
45,-76.84614562988281,251.7919464111328,7.24343204498291
46,-77.39026641845703,251.7803192138672,7.25177526473999
47,-77.93407440185547,251.76866149902344,7.260349273681641
48,-78.47757720947266,251.75692749023438,7.269183158874512
49,-79.0207748413086,251.74513244628906,7.278241157531738
50,-79.56367492675781,251.73324584960938,7.287500858306885
51,-80.10626983642578,251.72132873535156,7.29697847366333
52,-80.64857482910156,251.7093505859375,7.3066325187683105
53,-81.19056701660156,251.69737243652344,7.316461086273193
54,-81.73226928710938,251.68539428710938,7.326522350311279
55,-82.27366638183594,251.6734161376953,7.336790561676025
56,-82.81477355957031,251.6614532470703,7.347260475158691
57,-83.35557556152344,251.6495361328125,7.357949256896973
58,-83.8960952758789,251.63763427734375,7.368809700012207
59,-84.4363021850586,251.6257781982422,7.379909038543701
60,-84.97620391845703,251.61398315429688,7.391253471374512
61,-85.51579284667969,251.602294921875,7.402841091156006
62,-86.0550765991211,251.59068298339844,7.414700984954834
63,-86.59405517578125,251.57920837402344,7.426790714263916
64,-87.13272857666016,251.56781005859375,7.439123630523682
65,-87.67108154296875,251.55657958984375,7.451781272888184
66,-88.2091293334961,251.5455322265625,7.464732646942139
67,-88.74685668945312,251.53463745117188,7.47800350189209
68,-89.28428649902344,251.52391052246094,7.491629123687744
69,-89.82139587402344,251.5133819580078,7.505590438842773
70,-90.3581771850586,251.50296020507812,7.519914627075195
71,-90.89461517333984,251.49270629882812,7.534560203552246
72,-91.43073272705078,251.4826202392578,7.549492359161377
73,-91.96648406982422,251.47274780273438,7.5647783279418945
74,-92.50190734863281,251.4630889892578,7.580389976501465
75,-93.0369873046875,251.4536590576172,7.596271514892578
76,-93.57173919677734,251.4444122314453,7.612376689910889
77,-94.10614013671875,251.4353485107422,7.628622531890869
78,-94.64022064208984,251.42648315429688,7.645016193389893
79,-95.17394256591797,251.41781616210938,7.661501884460449
80,-95.70732879638672,251.4093475341797,7.678081512451172
81,-96.24037170410156,251.40110778808594,7.694721698760986
82,-96.7666244506836,251.39987182617188,7.710100173950195
83,-97.2928237915039,251.39755249023438,7.725595951080322
84,-97.81873321533203,251.39463806152344,7.741165637969971
85,-98.34426879882812,251.39158630371094,7.7567901611328125
86,-98.8681640625,251.3900146484375,7.772678852081299
87,-99.39179229736328,251.38829040527344,7.7886857986450195
88,-99.91511535644531,251.38653564453125,7.804854393005371
89,-100.43811798095703,251.38491821289062,7.821184158325195
90,-100.9608154296875,251.383544921875,7.837670803070068
91,-101.4831771850586,251.38243103027344,7.854343414306641
92,-102.00521850585938,251.381591796875,7.871199131011963
93,-102.52558135986328,251.3826904296875,7.888023853302002
94,-103.04566192626953,251.38377380371094,7.905060291290283
95,-103.5654067993164,251.38479614257812,7.922309398651123
96,-104.0848388671875,251.3857421875,7.9397969245910645
97,-104.60394287109375,251.3867645263672,7.9575324058532715
98,-105.1227035522461,251.3878631591797,7.9755024909973145
99,-105.64112091064453,251.3890380859375,7.993701457977295
100,-106.1592025756836,251.39035034179688,8.012088775634766
