,x,y,z
0,-303.8778381347656,594.8193359375,115.84077453613281
1,-304.1762390136719,595.3199462890625,115.85021209716797
2,-304.4749755859375,595.8201293945312,115.85893249511719
3,-304.7739562988281,596.3200073242188,115.86697387695312
4,-305.0730895996094,596.8195190429688,115.87469482421875
5,-305.37237548828125,597.3185424804688,115.88214111328125
6,-305.67156982421875,597.8169555664062,115.88965606689453
7,-305.97064208984375,598.3147583007812,115.89743041992188
8,-306.2695617675781,598.8118286132812,115.90576934814453
9,-306.56842041015625,599.3082275390625,115.91471862792969
10,-306.86724853515625,599.8038330078125,115.9241714477539
11,-307.1659851074219,600.298828125,115.93417358398438
12,-307.4645080566406,600.7933349609375,115.9447021484375
13,-307.7627868652344,601.287353515625,115.95565795898438
14,-308.0609130859375,601.7808227539062,115.96651458740234
15,-308.3589782714844,602.2738647460938,115.97692108154297
16,-308.6566162109375,602.7664184570312,115.98725128173828
17,-308.95379638671875,603.2588500976562,115.99772644042969
18,-309.2506408691406,603.7509765625,116.0081787109375
19,-309.5474548339844,604.2427368164062,116.01765441894531
20,-309.8441162109375,604.7343139648438,116.02628326416016
21,-310.14031982421875,605.2260131835938,116.0345230102539
22,-310.435791015625,605.7182006835938,116.04308319091797
23,-310.7305908203125,606.2108154296875,116.052001953125
24,-311.0250549316406,606.7040405273438,116.06088256835938
25,-311.3191833496094,607.19775390625,116.06978607177734
26,-311.6128234863281,607.6920776367188,116.07888793945312
27,-311.9059753417969,608.18701171875,116.0885009765625
28,-312.1985778808594,608.6827392578125,116.0988540649414
29,-312.49078369140625,609.1790771484375,116.10992431640625
30,-312.7827453613281,609.6760864257812,116.12163543701172
31,-313.0747375488281,610.1736450195312,116.133544921875
32,-313.36676025390625,610.6716918945312,116.14543914794922
33,-313.6587219238281,611.17041015625,116.15711212158203
34,-313.9507141113281,611.6696166992188,116.16817474365234
35,-314.24261474609375,612.1693115234375,116.17859649658203
36,-314.5343322753906,612.6696166992188,116.18851470947266
37,-314.8258361816406,613.170654296875,116.19803619384766
38,-315.1170959472656,613.67236328125,116.20704650878906
39,-315.4082946777344,614.1748046875,116.21533966064453
40,-315.69940185546875,614.6780395507812,116.22312927246094
41,-315.99029541015625,615.182373046875,116.23075866699219
42,-316.2807312011719,615.6879272460938,116.23847198486328
43,-316.5706481933594,616.19482421875,116.24676513671875
44,-316.8601989746094,616.7030639648438,116.2556381225586
45,-317.14947509765625,617.212646484375,116.26522064208984
46,-317.4385986328125,617.723388671875,116.2754135131836
47,-317.7276916503906,618.2352294921875,116.28623962402344
48,-318.0167236328125,618.7482299804688,116.29762268066406
49,-318.30584716796875,619.26220703125,116.30948638916016
50,-318.59503173828125,619.777099609375,116.32170104980469
51,-318.8843994140625,620.2927856445312,116.33417510986328
52,-319.1739501953125,620.8092041015625,116.34674072265625
53,-319.4638366699219,621.326171875,116.35909271240234
54,-319.7541809082031,621.84375,116.37094116210938
55,-320.044921875,622.3617553710938,116.38233947753906
56,-320.3360595703125,622.8803100585938,116.39336395263672
57,-320.6276550292969,623.3994750976562,116.40402221679688
58,-320.9197692871094,623.9191284179688,116.41445922851562
59,-321.21234130859375,624.4393920898438,116.42463684082031
60,-321.5054626464844,624.9600219726562,116.43463897705078
61,-321.7991027832031,625.4811401367188,116.44450378417969
62,-322.09326171875,626.0025024414062,116.4544906616211
63,-322.387939453125,626.524169921875,116.46492004394531
64,-322.6830139160156,627.0460205078125,116.47577667236328
65,-322.9786376953125,627.5679931640625,116.48685455322266
66,-323.27484130859375,628.0899658203125,116.49797821044922
67,-323.5716247558594,628.6117553710938,116.50916290283203
68,-323.8690185546875,629.1334228515625,116.52039337158203
69,-324.16680908203125,629.655029296875,116.53199005126953
70,-324.46527099609375,630.1763305664062,116.54306030273438
71,-324.7641906738281,630.697509765625,116.553466796875
72,-325.06341552734375,631.2186889648438,116.56344604492188
73,-325.36297607421875,631.7398681640625,116.57303619384766
74,-325.66302490234375,632.260986328125,116.58206939697266
75,-325.9635314941406,632.7820434570312,116.5903549194336
76,-326.2642822265625,633.30322265625,116.59861755371094
77,-326.5650329589844,633.824462890625,116.60735321044922
78,-326.86572265625,634.3457641601562,116.61679077148438
79,-327.16656494140625,634.8670043945312,116.62702178955078
80,-327.4678039550781,635.3878173828125,116.637939453125
81,-327.76959228515625,635.9077758789062,116.6492691040039
82,-328.0718994140625,636.4266357421875,116.66075134277344
83,-328.3745422363281,636.9443969726562,116.67225646972656
84,-328.67742919921875,637.4611206054688,116.68412017822266
85,-328.9803466796875,637.9772338867188,116.69627380371094
86,-329.2836608886719,638.49267578125,116.70832824707031
87,-329.5875549316406,639.0074462890625,116.71943664550781
88,-329.8917541503906,639.5215454101562,116.7293701171875
89,-330.1958923339844,640.03515625,116.73867797851562
90,-330.4997863769531,640.54833984375,116.74761962890625
91,-330.8035583496094,641.0609741210938,116.75654602050781
92,-331.10723876953125,641.5731201171875,116.76525115966797
93,-331.4107971191406,642.0848388671875,116.77363586425781
94,-331.7140197753906,642.5962524414062,116.78211212158203
95,-332.016845703125,643.1072998046875,116.7907943725586
96,-332.3192138671875,643.6179809570312,116.79971313476562
97,-332.6212463378906,644.1281127929688,116.80887603759766
98,-332.9228210449219,644.6378173828125,116.81842041015625
99,-333.223876953125,645.1470336914062,116.82847595214844
100,-333.5244445800781,645.6558227539062,116.83890533447266
101,-333.82464599609375,646.1641235351562,116.84960174560547
102,-334.1243591308594,646.6719360351562,116.86046600341797
103,-334.423583984375,647.1793212890625,116.871337890625
104,-334.72235107421875,647.6863403320312,116.88215637207031
105,-335.02056884765625,648.1929321289062,116.89285278320312
106,-335.318359375,648.6990966796875,116.90332794189453
107,-335.6156311035156,649.2050170898438,116.91355895996094
108,-335.912353515625,649.710693359375,116.9234619140625
109,-336.20849609375,650.216064453125,116.93312072753906
110,-336.5039978027344,650.7212524414062,116.94265747070312
111,-336.7988586425781,651.2262573242188,116.95226287841797
