,x,y,z
0,-317.2027893066406,586.9542236328125,115.5491943359375
1,-317.3985290527344,587.2922973632812,115.55716705322266
2,-317.5946350097656,587.6311645507812,115.56531524658203
3,-317.7909851074219,587.970703125,115.57364654541016
4,-317.9875183105469,588.3106079101562,115.58212280273438
5,-318.1841125488281,588.65087890625,115.5907974243164
6,-318.3806457519531,588.9913330078125,115.59965515136719
7,-318.5770263671875,589.3319702148438,115.60858917236328
8,-318.7731628417969,589.6727294921875,115.61766815185547
9,-318.9690856933594,590.0134887695312,115.626708984375
10,-319.16455078125,590.3543701171875,115.63569641113281
11,-319.35955810546875,590.6953125,115.64463806152344
12,-319.5539245605469,591.036376953125,115.65350341796875
13,-319.74774169921875,591.3775634765625,115.66253662109375
14,-319.9410095214844,591.7188110351562,115.67180633544922
15,-320.13372802734375,592.0602416992188,115.68124389648438
16,-320.325927734375,592.4017944335938,115.69074249267578
17,-320.51751708984375,592.74365234375,115.70027160644531
18,-320.7082824707031,593.0858764648438,115.7096176147461
19,-320.8980712890625,593.4285888671875,115.71829986572266
20,-321.0869445800781,593.7716064453125,115.72635650634766
21,-321.2749938964844,594.1148071289062,115.73387908935547
22,-321.46221923828125,594.458251953125,115.74095153808594
23,-321.6487121582031,594.8017578125,115.74775695800781
24,-321.8344421386719,595.1453857421875,115.75440979003906
25,-322.0193786621094,595.4892578125,115.76101684570312
26,-322.20361328125,595.8333740234375,115.76765441894531
27,-322.38714599609375,596.1778564453125,115.77436828613281
28,-322.570068359375,596.5225830078125,115.78106689453125
29,-322.75244140625,596.8677368164062,115.78761291503906
30,-322.93426513671875,597.2130737304688,115.79389190673828
31,-323.11566162109375,597.5586547851562,115.7999038696289
32,-323.2967529296875,597.9042358398438,115.80591583251953
33,-323.47760009765625,598.2499389648438,115.81201934814453
34,-323.6582336425781,598.5956420898438,115.81842803955078
35,-323.8384704589844,598.9415283203125,115.82513427734375
36,-324.0184326171875,599.2875366210938,115.83210754394531
37,-324.1981506347656,599.6336669921875,115.83924102783203
38,-324.37774658203125,599.9799194335938,115.8465576171875
39,-324.5573425292969,600.3263549804688,115.85411071777344
40,-324.73699951171875,600.6729736328125,115.86177062988281
41,-324.9168395996094,601.019775390625,115.86957550048828
42,-325.0968933105469,601.3668212890625,115.87740325927734
43,-325.2772216796875,601.7141723632812,115.88530731201172
44,-325.4578552246094,602.0618286132812,115.89323425292969
45,-325.6389465332031,602.409912109375,115.9012451171875
46,-325.8204345703125,602.7584838867188,115.90924835205078
47,-326.0022888183594,603.1074829101562,115.91696166992188
48,-326.18475341796875,603.4569091796875,115.92455291748047
49,-326.3679504394531,603.8067626953125,115.93213653564453
